URL,File Size/Bytes,Number of Links Found,Content-Type 
https://www.nytimes.com/es/2021/02/16/espanol/alexei-navalny-rusia.html,446851,68,text/html
https://www.nytimes.com/by/shane-goldmacher,405716,55,text/html
https://www.nytimes.com/es/2021/02/18/espanol/opinion/marte-perseverance.html,261462,50,text/html
https://www.nytimes.com/2021/02/17/books/review-liner-notes-for-revolution-intellectual-life-black-feminist-sound-daphne-brooks.html,303990,55,text/html
https://www.nytimes.com/2021/02/19/podcasts/the-daily/coronavirus-pandemic-children-vaccinations.html,417108,84,text/html
https://www.nytimes.com/video/us/100000007142853/ahmaud-arbery-video-911-georgia.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Finvestigations,1048576,106,text/html
https://www.nytimes.com/2021/02/13/world/europe/navalny-russia-putin.html,436622,62,text/html
https://www.nytimes.com/2021/02/15/books/review-tom-stoppard-biography-hermione-lee.html,337940,51,text/html
https://www.nytimes.com/es/2021/02/17/espanol/bruxismo-que-es.html,310990,55,text/html
https://www.nytimes.com/2021/02/19/opinion/nevada-caucus-primary-democrats.html,292220,67,text/html
https://www.nytimes.com/es/2021/02/10/espanol/video-impeachment-capitolio.html,293913,52,text/html
https://www.nytimes.com/es/2021/02/10/espanol/segundo-juicio-trump.html,403499,63,text/html
https://www.nytimes.com/video/us/100000007122997/ice-deportations-coronavirus-video.html?playlistId=video%2Finvestigations,1048576,105,text/html
https://www.nytimes.com/ca/?action=click&region=Editions&pgtype=Homepage,1048576,94,text/html
https://www.nytimes.com/es/2021/02/09/espanol/destitucion-trump.html,395533,68,text/html
https://www.nytimes.com/2020/11/27/technology/pushed-by-pandemic-amazon-goes-on-a-hiring-spree-without-equal.html,427838,73,text/html
https://www.nytimes.com/video/us/100000007122997/ice-deportations-coronavirus-video.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Finvestigations,1048576,106,text/html
https://www.nytimes.com/section/business,780008,111,text/html
https://www.nytimes.com/es/2021/02/19/espanol/comprar-n95-real.html,363816,70,text/html
https://www.nytimes.com/es/2021/02/17/espanol/carnaval-brasil.html,407188,57,text/html
https://www.nytimes.com/2021/02/19/business/airlines-outlook-pandemic-vaccines.html,380292,64,text/html
https://www.nytimes.com/es/2021/02/18/espanol/vacuna-cubana-soberana.html,367756,52,text/html
https://www.nytimes.com/es/2021/02/17/espanol/apagon-texas.html,351470,63,text/html
https://www.nytimes.com/2021/02/15/arts/music/johnny-pacheco-dead.html,340509,50,text/html
https://www.nytimes.com/es/2021/02/18/espanol/teletrabajo-consejos.html,298238,45,text/html
https://www.nytimes.com/es/2021/02/18/espanol/silbo-gomero-canarias.html,372963,51,text/html
https://www.nytimes.com/2021/02/15/world/asia/taliban-afghanistan.html,418396,52,text/html
https://www.nytimes.com/2020/12/23/well/live/pulse-oximeter-black.html,306267,47,text/html
https://www.nytimes.com/video/world/middleeast/100000005697485/russia-bombed-syrian-hospitals.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Finvestigations,1048576,106,text/html
https://www.nytimes.com/video/us/100000007159353/george-floyd-arrest-death-video.html?playlistId=video%2FMost-Viewed,1048576,81,text/html
https://www.nytimes.com/es/spotlight/el-brote-de-coronavirus,196672,45,text/html
https://www.nytimes.com/es/2021/02/09/espanol/juicio-politico-trump-hora.html,342032,74,text/html
https://www.nytimes.com/2021/02/18/books/review/11-new-books-we-recommend-this-week.html,336806,51,text/html
https://www.nytimes.com/2021/02/03/books/review-halfway-home-mass-incarceration-reuben-jonathan-miller.html,292967,49,text/html
https://www.nytimes.com/es/2021/02/02/espanol/embarazo-vacuna-covid.html,371505,60,text/html
https://www.nytimes.com/interactive/2020/09/01/books/what-to-read-promo.html,60778,12,text/html
https://www.nytimes.com/video/style/100000005806771/japan-chicano-culture.html?playlistId=video%2FMost-Viewed,1048576,81,text/html
https://www.nytimes.com/video/us/100000007424380/police-black-lives-matter-protests.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Finvestigations,1048576,106,text/html
https://www.nytimes.com/section/books/review,462922,101,text/html
https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html?action=click&pgtype=Article&state=default&module=styln-elections-2020&region=TOP_BANNER&context=election_recirc,1048576,119,text/html
https://www.nytimes.com/interactive/2021/books/best-toni-morrison-books.html,186508,86,text/html
https://www.nytimes.com/interactive/2021/health/coronavirus-variant-tracker.html,601040,186,text/html
https://www.nytimes.com/live/2021/02/19/world/covid-19-coronavirus,465195,76,text/html
